gene	vst_siCtrl_1st	vst_siCtrl_2nd	vst_siCtrl_3rd	vst_siKRT18_1st	vst_siKRT18_2nd	vst_siKRT18_3rd
FGF21	-0.205659171	-0.124212821	-0.337524669	0.1787666	0.229118724	0.124212821
INHBE	-0.174093053	-0.254355876	-0.280851728	0.234827998	0.174093053	0.245068013
SPP1	-0.188033719	-0.236946068	-0.169176033	0.312718089	0.169176033	0.228669281
CTH	-0.243111034	-0.275324615	-0.32019607	0.341301802	0.243111034	0.296227926
NUPR1	-0.423917036	-0.278690156	-0.398909705	0.278690156	0.334701101	0.341986798
DDIT4	-0.469071503	-0.399829644	-0.631988209	0.405214998	0.438261561	0.399829644
ZNF616	-0.290320867	-0.249725277	-0.178679191	0.178679191	0.275849763	0.271314185
MIR205HG	-0.156139344	-0.148255544	-0.258941175	0.148255544	0.317333118	0.295070047
PCK2	-0.592809733	-0.36030894	-0.487250427	0.36030894	0.394543012	0.414565028
CHST14	-0.341743167	-0.36337753	-0.306482897	0.306482897	0.36600873	0.343349479
CTB-147N14.6	-0.139364794	-0.102961333	-0.114833607	0.209608487	0.149642742	0.102961333
GANAB	-0.418151537	-0.517941456	-0.378894121	0.378894121	0.432064478	0.435539675
TPM4	-0.376399282	-0.445409959	-0.366709983	0.366709983	0.518103029	0.513688352
UNC93A	-0.148847731	-0.066140191	-0.255258608	0.194601641	0.066140191	0.088795858
TRIB3	-0.296118733	-0.177908765	-0.221449428	0.177908765	0.274220986	0.224925464
GPR19	-0.130846889	-0.205479505	-0.077212144	0.077212144	0.09509645	0.144461621
HABP4	-0.236128033	-0.286101506	-0.269138513	0.236128033	0.360458229	0.350716226
NOLC1	-0.28693994	-0.430247828	-0.404314622	0.291598338	0.28693994	0.361442436
EMC6	-0.461873069	-0.346294978	-0.223971399	0.223971399	0.238481043	0.283403502
ODAM	-0.238400206	-0.262331923	-0.106601605	0.221923903	0.12026095	0.106601605
ASNS	-0.259854125	-0.320389633	-0.399425675	0.259854125	0.433207515	0.419139949
MKNK2	-0.509728977	-0.416325519	-0.265643157	0.279651231	0.298721822	0.265643157
POLR3GL	-0.17055285	-0.361995599	-0.145156797	0.145156797	0.282019387	0.203431606
ZNF76	-0.172078751	-0.124702322	-0.119587972	0.263300358	0.261010071	0.119587972
LINC00337	-0.105838698	-0.198538271	-0.172887455	0.135845654	0.105838698	0.140112743
SLC26A9	-0.235174525	-0.120274187	-0.224428895	0.120274187	0.177059647	0.227451215
RP11-277P12.20	-0.455862273	-0.138572456	-0.160194222	0.138572456	0.186870615	0.311052192
MED11	-0.27086478	-0.192955085	-0.159731689	0.159731689	0.236772706	0.207023977
PRR9	-0.367874015	-0.23821001	-0.189797908	0.189797908	0.200555296	0.250018395
SLC43A1	-0.231866456	-0.137583753	-0.100137608	0.10504291	0.100137608	0.109993567
AMACR	-0.223795326	-0.318349531	-0.289059007	0.355167914	0.293582085	0.223795326
APOBEC3H	-0.142153273	-0.103837504	-0.177718289	0.103837504	0.332264194	0.358862023
PALD1	-0.136559136	-0.140118195	-0.091712101	0.114384884	0.091712101	0.145403502
CEL	-0.222157635	-0.155577578	-0.11627168	0.11627168	0.198779055	0.218919959
MNX1	-0.19745289	-0.15552504	-0.190448401	0.216157494	0.266138324	0.15552504
G3BP2	-0.112568376	-0.343752755	-0.580478015	0.398548682	0.151404385	0.112568376
PIR	-0.103328951	-0.374122245	-0.254265634	0.110870815	0.126752739	0.103328951
OGFR	-0.328292595	-0.343463092	-0.238792349	0.238792349	0.37613809	0.278267354
DISP1	-0.06812686	-0.279714237	-0.195409874	0.089238554	0.06812686	0.082299837
NPR2	-0.095784851	-0.092872771	-0.12995179	0.141386969	0.118785352	0.092872771
ADM2	-0.241362455	-0.114375085	-0.295523936	0.114375085	0.155328111	0.19448222
ZCCHC3	-0.231260836	-0.317466463	-0.250522122	0.253925995	0.231260836	0.309326015
ZSCAN29	-0.167299873	-0.240764437	-0.186742524	0.184540897	0.220767014	0.167299873
ADPRHL1	-0.071362741	-0.239295831	-0.118006651	0.071362741	0.155875791	0.198919546
ARHGEF19	-0.117308651	-0.151979323	-0.181557877	0.189302323	0.15310725	0.117308651
ZNF138	-0.095636941	-0.283897661	-0.247177161	0.176735985	0.095636941	0.13195545
KLK1	-0.171285348	-0.077299145	-0.107651072	0.077299145	0.166636071	0.181666154
RP11-284F21.10	-0.230981513	-0.040685684	-0.203984346	0.040685684	0.193552179	0.152577873
JAKMIP2-AS1	-0.133442454	-0.188209805	-0.074311103	0.074311103	0.281461548	0.208937307
PCED1B	-0.242318141	-0.039401795	-0.288183172	0.13491687	0.061498979	0.039401795
IFT27	-0.206814703	-0.18088289	-0.119934946	0.119934946	0.213976144	0.157574055
FGFR3	-0.262683518	-0.181528389	-0.125284534	0.194736923	0.178189036	0.125284534
SLC40A1	-0.092495055	-0.142168463	-0.308258473	0.203014299	0.094345845	0.092495055
ZW10	-0.256988911	-0.161605097	-0.141741258	0.141741258	0.195460205	0.236009679
C6orf223	-0.116450344	-0.165686837	-0.105691337	0.177053552	0.143926145	0.105691337
TFAP4	-0.2517657	-0.180113473	-0.06714136	0.115639793	0.06714136	0.164395868
TOMM22	-0.245007424	-0.254312624	-0.241569087	0.241569087	0.262141021	0.278118602
STX12	-0.125785864	-0.17698429	-0.169144673	0.263187492	0.125785864	0.201525277
MYH4	-0.081631895	-0.185946976	-0.111668393	0.124064677	0.081631895	0.17220536
HSDL2	-0.181052445	-0.234597149	-0.237814672	0.181052445	0.215140926	0.250251465
ZDHHC18	-0.354833228	-0.221502996	-0.164810715	0.198346279	0.241031327	0.164810715
RPL26L1	-0.189302874	-0.249981237	-0.164413465	0.164413465	0.174262946	0.29063369
PRMT6	-0.096397885	-0.131388846	-0.380902203	0.234899051	0.123765216	0.096397885
PSAT1	-0.147696629	-0.353887262	-0.54715696	0.236747321	0.147696629	0.171736675
NTM	-0.069376067	-0.167841608	-0.195229687	0.111707848	0.069376067	0.248526906
ZDHHC16	-0.273967399	-0.168453991	-0.134592036	0.134592036	0.263526365	0.328379218
RGS19	-0.293774404	-0.218983666	-0.124552872	0.125130393	0.124552872	0.211125797
INPP5D	-0.187316976	-0.101511862	-0.095943822	0.095943822	0.159658898	0.17259062
SUPT3H	-0.130619737	-0.106162204	-0.108458597	0.106162204	0.272179202	0.149633128
PFKL	-0.432985753	-0.251734025	-0.1826215	0.1826215	0.219915508	0.222564483
TMEM216	-0.226171489	-0.04766416	-0.22714033	0.04766416	0.187099603	0.127027927
KRT75	-0.060968119	-0.181152429	-0.091327079	0.060968119	0.091745264	0.221260251
NFE2	-0.165531188	-0.122596832	-0.082384233	0.109493105	0.08356221	0.082384233
SETD7	-0.131689931	-0.22141832	-0.277022514	0.255398305	0.131689931	0.149122631
C7orf55	-0.105842267	-0.06483992	-0.123926687	0.226212125	0.098434523	0.06483992
R3HDM2	-0.147784803	-0.172321682	-0.238431575	0.166360426	0.148092174	0.147784803
KIF21B	-0.218286208	-0.106908708	-0.295209392	0.187685909	0.106908708	0.239134439
TYMSOS	-0.100691918	-0.123933787	-0.162692593	0.106301242	0.100691918	0.250991574
MEX3D	-0.28204665	-0.233415924	-0.103212175	0.214856276	0.133330534	0.103212175
ANXA6	-0.163455235	-0.159271278	-0.070562585	0.070562585	0.139965173	0.10214343
SH2B3	-0.180228154	-0.117247589	-0.24545255	0.117247589	0.189699962	0.184518305
PLA2G2E	-0.083794634	-0.148137707	-0.081327551	0.168588434	0.153497432	0.081327551
ZFP90	-0.199100808	-0.155450544	-0.061230621	0.061230621	0.075881968	0.191249452
ATG10	-0.161870324	-0.106972335	-0.079323041	0.079323041	0.112453939	0.144347531
ARRDC1-AS1	-0.243106398	-0.063062902	-0.152485151	0.144651615	0.063062902	0.133616227
C22orf46	-0.134278426	-0.071819853	-0.261714938	0.164821796	0.158462525	0.071819853
ARHGEF3	-0.214920617	-0.066613859	-0.327938074	0.066613859	0.099059112	0.113499087
