GeneID	HGNC
153396	TMEM161B
1378	CR1
5655	KLK10
84798	C19orf48
23169	SLC35D1
132949	AASDH
84910	TMEM87B
79819	DNAI4
51668	HSPB11
10400	PEMT
152330	CNTN4
3489	IGFBP6
4628	MYH10
10186	LHFPL6
22936	ELL2
113130	CDCA5
5937	RBMS1
7089	TLE2
5800	PTPRO
1854	DUT
64860	ARMCX5
81578	COL21A1
163786	SASS6
79148	MMP28
962	CD48
3155	HMGCL
10048	RANBP9
57205	ATP10D
7586	ZKSCAN1
29982	NRBF2
3326	HSP90AB1
293	SLC25A6
222183	SRRM3
157680	VPS13B
10244	RABEPK
154807	VKORC1L1
22795	NID2
9361	LONP1
4811	NID1
29988	SLC2A8
9060	PAPSS2
6628	SNRPB
55027	HEATR3
9938	ARHGAP25
54974	THG1L
146722	CD300LF
55858	TMEM165
54505	DHX29
64864	RFX7
9889	ZBED4
256643	BCLAF3
27018	BEX3
23770	FKBP8
29995	LMCD1
55930	MYO5C
55151	TMEM38B
8863	PER3
29966	STRN3
5537	PPP6C
51614	ERGIC3
3059	HCLS1
93010	B3GNT7
4141	MARS1
8914	TIMELESS
55277	FGGY
9765	ZFYVE16
64856	VWA1
26115	TANC2
29926	GMPPA
7871	SLMAP
135	ADORA2A
201633	TIGIT
54878	DPP8
148213	ZNF681
30811	HUNK
2122	MECOM
6817	SULT1A1
7153	TOP2A
84251	SGIP1
57486	NLN
51202	DDX47
10919	EHMT2
54922	RASIP1
8633	UNC5C
23345	SYNE1
123920	CMTM3
6241	RRM2
83595	SOX7
400	ARL1
1182	CLCN3
7172	TPMT
1604	CD55
256471	MFSD8
7145	TNS1
185	AGTR1
5745	PTH1R
54625	PARP14
9636	ISG15
2958	GTF2A2
102	ADAM10
201725	C4orf46
84945	ABHD13
4087	SMAD2
84296	GINS4
80765	STARD5
9306	SOCS6
116496	NIBAN1
8777	MPDZ
117854	TRIM6
150365	MEI1
55240	STEAP3
80067	DCAF17
257106	ARHGAP30
6423	SFRP2
5159	PDGFRB
4609	MYC
54682	MANSC1
7456	WIPF1
11074	TRIM31
4240	MFGE8
10625	IVNS1ABP
81617	CAB39L
597	BCL2A1
10513	APPBP2
27032	ATP2C1
915	CD3D
9519	TBPL1
221895	JAZF1
1241	LTB4R
5178	PEG3
54809	SAMD9
734	OSGIN2
115361	GBP4
8504	PEX3
10438	C1D
10616	RBCK1
23052	ENDOD1
4313	MMP2
6416	MAP2K4
5792	PTPRF
5570	PKIB
5008	OSM
80745	THUMPD2
55636	CHD7
528	ATP6V1C1
91452	ACBD5
5036	PA2G4
8856	NR1I2
170463	SSBP4
83543	AIF1L
3976	LIF
29028	ATAD2
85358	SHANK3
814	CAMK4
2324	FLT4
360023	ZBTB41
3801	KIFC3
7122	CLDN5
199964	TMEM61
2934	GSN
254295	PHYHD1
10103	TSPAN1
11092	SPACA9
6948	TCN2
196527	ANO6
55068	ENOX1
9859	CEP170
340252	ZNF680
